Location,FIPS,2019 Population
".Montgomery County, Maryland",24031,"1,050,688"
".Prince George's County, Maryland",24033,"909,327"
".Queen Anne's County, Maryland",24035,"50,381"
".St. Mary's County, Maryland",24037,"113,510"
".Somerset County, Maryland",24039,"25,616"
".Talbot County, Maryland",24041,"37,181"
".Washington County, Maryland",24043,"151,049"
".Wicomico County, Maryland",24045,"103,609"
".Worcester County, Maryland",24047,"52,276"
".Baltimore city, Maryland",24510,"593,490"
".District of Columbia, District of Columbia",11001,"705,749"
